, ->  , [1.0]
. ->  . [1.0]
ADJP ->  ADJP ADJP [0.1]
ADJP ->  ADVP ADJP [0.1]
ADJP ->  Büyük [0.1]
ADJP ->  farklı [0.1]
ADJP ->  gelecek [0.1]
ADJP ->  geç [0.1]
ADJP ->  hızlı [0.1]
ADJP ->  karmaşık [0.1]
ADJP ->  yeni [0.2]
ADVP ->  ADJP NP [0.1]
ADVP ->  ADVP ADJP [0.1]
ADVP ->  ADVP CONJP [0.1]
ADVP ->  daha [0.1]
ADVP ->  kesinlikle [0.1]
ADVP ->  yarayıp [0.1]
ADVP ->  çok [0.2]
ADVP ->  çoktan [0.1]
ADVP ->  önce [0.1]
CONJP ->  da [0.5]
CONJP ->  ve [0.5]
DP ->  Bu [0.6]
DP ->  bir [0.2]
DP ->  birkaç [0.2]
NOMP ->  ADVP NOMP [0.3333333333333333]
NOMP ->  NP NOMP [0.16666666666666666]
NOMP ->  hazırdı [0.16666666666666666]
NOMP ->  zorundaydık [0.16666666666666666]
NOMP ->  önemlidir [0.16666666666666666]
NP ->  ADJP NP [0.046153846153846156]
NP ->  Araçlar [0.015384615384615385]
NP ->  Biz [0.015384615384615385]
NP ->  Bu [0.015384615384615385]
NP ->  Bunu [0.015384615384615385]
NP ->  Cuma [0.015384615384615385]
NP ->  DP ADJP NP NP [0.015384615384615385]
NP ->  DP NP [0.06153846153846154]
NP ->  Fidelity [0.015384615384615385]
NP ->  Hutton [0.015384615384615385]
NP ->  Komitesi [0.015384615384615385]
NP ->  Lehman [0.015384615384615385]
NP ->  NP ADVP NP [0.015384615384615385]
NP ->  NP CONJP NP [0.015384615384615385]
NP ->  NP NP [0.15384615384615385]
NP ->  NP NP NP NP [0.015384615384615385]
NP ->  NP PP NP [0.015384615384615385]
NP ->  PP NP [0.015384615384615385]
NP ->  Salı [0.015384615384615385]
NP ->  Shearson [0.015384615384615385]
NP ->  Yollar [0.015384615384615385]
NP ->  adıyla [0.015384615384615385]
NP ->  devam [0.015384615384615385]
NP ->  dil [0.015384615384615385]
NP ->  diyaloğu [0.015384615384615385]
NP ->  duruşma [0.015384615384615385]
NP ->  dün [0.015384615384615385]
NP ->  düşünmek [0.03076923076923077]
NP ->  fatura [0.015384615384615385]
NP ->  firmalar [0.015384615384615385]
NP ->  fonu [0.015384615384615385]
NP ->  görmek [0.015384615384615385]
NP ->  günü [0.015384615384615385]
NP ->  hareket [0.015384615384615385]
NP ->  işe [0.015384615384615385]
NP ->  kez [0.03076923076923077]
NP ->  onlar [0.015384615384615385]
NP ->  reklamlarını [0.015384615384615385]
NP ->  reklamın [0.015384615384615385]
NP ->  reklamını [0.015384615384615385]
NP ->  sabaha [0.015384615384615385]
NP ->  savaşı [0.015384615384615385]
NP ->  sürdürmek [0.015384615384615385]
NP ->  televizyon [0.015384615384615385]
NP ->  vaktinden [0.015384615384615385]
NP ->  yapmaya [0.015384615384615385]
NP ->  yaramadığını [0.015384615384615385]
NP ->  yasada [0.015384615384615385]
NP ->  Şirketi [0.015384615384615385]
PP ->  NP ADVP [0.14285714285714285]
PP ->  NP PP [0.42857142857142855]
PP ->  için [0.2857142857142857]
PP ->  kadar [0.14285714285714285]
S ->  NOMP . [0.09090909090909091]
S ->  NP , NP VP . [0.09090909090909091]
S ->  NP NOMP . [0.09090909090909091]
S ->  NP NP [0.09090909090909091]
S ->  NP NP NOMP . [0.09090909090909091]
S ->  NP VP . [0.45454545454545453]
S ->  VP . [0.09090909090909091]
VP ->  ADVP NP VP [0.058823529411764705]
VP ->  ADVP VP [0.058823529411764705]
VP ->  NP VP [0.29411764705882354]
VP ->  PP ADJP VP [0.058823529411764705]
VP ->  PP ADVP VP [0.058823529411764705]
VP ->  S NP VP [0.058823529411764705]
VP ->  bulandırmıştır [0.058823529411764705]
VP ->  eder [0.058823529411764705]
VP ->  ediyor [0.058823529411764705]
VP ->  olacaktı [0.058823529411764705]
VP ->  yapacak [0.058823529411764705]
VP ->  yazmıştı [0.058823529411764705]
VP ->  üzereyiz [0.058823529411764705]
